Model,Mrp,Rating,Review,Specs,Brand,Model_name,Color,Price,Ratings,Reviews,RAM,ROM,Expandable Upto
"SAMSUNG Galaxy A33 (Awesome Black, 128 GB)","₹25,999",4.1,"1,523 Ratings & 161 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A33,Awesome Black,25999.0,1523.0,161.0,6.0,128.0,1 TB
Kechaoda K115,"₹1,199",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1199.0,28686.0,2225.0,,,
Kechaoda K115,"₹1,140",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1140.0,28686.0,2225.0,,,
Kechaoda K115,"₹1,180",4.1,"28,686 Ratings & 2,225 Reviews",32 MB RAM | 32 MB ROM,KECHAODA,K115,,1180.0,28686.0,2225.0,,,
"IQOO Z6 5G (Dynamo Black, 128 GB)","₹20,990",4.2,522 Ratings & 38 Reviews,6 GB RAM | 128 GB ROM,IQOO,Z6 5G,Dynamo Black,20990.0,522.0,38.0,6.0,128.0,
"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹19,999",4.3,"16,369 Ratings & 1,222 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,REDMI,Note 10 Pro Max,Vintage Bronze,19999.0,16369.0,1222.0,6.0,128.0,512 GB
"REDMI Note 11S (Polar White, 128 GB)","₹15,998",4.2,872 Ratings & 85 Reviews,8 GB RAM | 128 GB ROM,REDMI,Note 11S,Polar White,15998.0,872.0,85.0,8.0,128.0,
Nokia TA-1010/105,"₹1,445",4.2,"21,319 Ratings & 1,704 Reviews",4 MB RAM | 4 MB ROM,NOKIA,TA 1010 105,,1445.0,21319.0,1704.0,,,
"MOTOROLA e32 (Eco Black, 64 GB)","₹8,999",4.2,157 Ratings & 18 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,e32,Eco Black,8999.0,157.0,18.0,4.0,64.0,1 TB
"realme narzo 50 5G (Hyper Blue, 128 GB)","₹17,489",4.3,4 Ratings & 0 Reviews,6 MB RAM | 128 GB ROM,REALME,narzo 50 5G,Hyper Blue,17489.0,4.0,0.0,,128.0,
"realme 8 5G (Supersonic Blue, 128 GB)","₹16,499",4.3,"75,662 Ratings & 6,017 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,REALME,8 5G,Supersonic Blue,16499.0,75662.0,6017.0,4.0,128.0,1 TB
"REDMI Note 11 SE (Space Black, 64 GB)","₹16,949",4.3,"30,409 Ratings & 1,886 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,REDMI,Note 11 SE,Space Black,16949.0,30409.0,1886.0,6.0,64.0,512 GB
"POCO M3 Pro 5G (Power Black, 128 GB)","₹17,999",4.2,"52,420 Ratings & 4,434 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,POCO,M3 Pro 5G,Power Black,17999.0,52420.0,4434.0,6.0,128.0,1 TB
"IQOO Neo 6 5G (Cyber Rage, 256 GB)","₹33,999",4.4,289 Ratings & 35 Reviews,12 GB RAM | 256 GB ROM,IQOO,Neo 6 5G,Cyber Rage,33999.0,289.0,35.0,12.0,256.0,
"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)","₹28,999",4.2,"6,430 Ratings & 720 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,XIAOMI,11i Hypercharge 5G,Purple Mist,28999.0,6430.0,720.0,8.0,128.0,1 TB
Kechaoda K55 Pro,"₹1,170",3.9,683 Ratings & 40 Reviews,32 MB RAM | 64 MB ROM,KECHAODA,K55 Pro,,1170.0,683.0,40.0,,,
